DatasetName,SightingKey,SpeciesCode,KingdomName,ClassName,FamilyName,SortOrder,ScientificName,Exotic,CommonName,NSWStatus,CommStatus,SensitivityClass,ProfileID,DateFirst,DateLast,NumberIndividuals,EstimateTypeCode,SourceCode,ObservationType,Status,ValidationFlags,LocationKey,Description,Latitude_GDA94,Longitude_GDA94,Zone,Easting,Northing,Accuracy,SightingNotes,LocationNotes,Column1
Wildlife Rehab Database,SPJGI5669423,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,24/01/2014 0:00,24/01/2014 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0469616,"Wentworth Rd, Broken Hill, NSW, 2880",-31.9914842,141.4474033,54,542264,6460421,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5669424,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,24/01/2014 0:00,24/01/2014 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0469616,"Wentworth Rd, Broken Hill, NSW, 2880",-31.9914842,141.4474033,54,542264,6460421,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5673086,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,1/09/2014 0:00,1/09/2014 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0325201,"Trentham Cliffs, NSW, 2738",-34.216667,142.25,54,615144,6213114,500,Encounter broad: Unknown; Encounter narrow: Unknown,,
Wildlife Rehab Database,SPJGI5677572,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,19/01/2014 0:00,19/01/2014 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0469897,"South Rd, Broken Hill, NSW, 2880",-31.9698959,141.4530617,54,542808,6462811,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5678102,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,20/03/2014 0:00,20/03/2014 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0470979,"Silverton Rd, broken hill, NSW, 2880",-31.9075576,141.3268356,54,530902,6469764,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5681819,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,1/07/2013 0:00,30/06/2014 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0481295,"Suburb only provided: white cliffs NSW, 2836",-30.26327,143.11916,54,703869,6650141,60966,Encounter broad: Abandoned/Orphaned/Nestling; Encounter narrow: Abandoned/Orphaned,,
Wildlife Rehab Database,SPJGI5681823,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,26/02/2016 0:00,26/02/2016 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0481296,"White Cliffs, NSW, 2836",-31.0204002,143.0403618,54,694763,6566350,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5686043,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,3/09/2015 0:00,3/09/2015 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0444470,"Found: Griffith Lake Cargelligo Rd, Lake Cargelligo, NSW, 2672",-33.29773,146.376043,55,441909,6315532,500,Encounter broad: Unknown; Encounter narrow: Unknown,,
Wildlife Rehab Database,SPJGI5698031,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,19/05/2015 0:00,19/05/2015 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0471839,"nine mile Rd, Broken Hill, NSW, 2880",-31.8650426,141.4324803,54,540910,6474442,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
Wildlife Rehab Database,SPJGI5698033,1263,Fauna,Mammalia,Macropodidae,3831,Macropus fuliginosus,,Western Grey Kangaroo,P,,,,19/05/2015 0:00,19/05/2015 0:00,,,4,WR,Valid and accepted without modification,,LPJGI0471839,"nine mile Rd, Broken Hill, NSW, 2880",-31.8650426,141.4324803,54,540910,6474442,500,Encounter broad: Collision; Encounter narrow: Collision - Motor Vehicle,,
